OID_,CID,view_zenith_mean_1,view_azimuth_mean_1,sun_azimuth_1,sun_zenith_1,B2_1,B3_1,B4_1,B5_1,B6_1,B7_1,B8A_1,B11_1,B12_1,flagsbyfiveall_1,lcdetail_fine_1,lcselectedint,LAI_1,CWC_1,CAB_1
,2,2.6692746,311.9770203,48.5556984,28.2383995,0.0132000,0.0303000,0.0166000,0.0631000,0.2148000,0.2560000,0.2977000,0.1011000,0.0378000,1,1.0000000,1,2.8471501,0.0109100,18.8542595
,2,7.8265219,293.2036133,48.1823997,27.5739994,0.0198000,0.0510000,0.0187000,0.0883000,0.3400000,0.4263000,0.0000000,0.1821000,0.0740000,1,1.0000000,1,2.6063299,0.0084000,22.4914207
,2,2.5527823,313.3467407,48.9071999,28.0398006,0.0215000,0.0395000,0.0199000,0.0788000,0.2440000,0.3095000,0.3466000,0.1434000,0.0584000,1,1.0000000,1,2.8454900,0.0083200,19.2535496
,2,9.6134558,276.2012329,47.9854012,27.3810005,0.0183000,0.0459000,0.0158000,0.0744000,0.2967000,0.3757000,0.0000000,0.1555000,0.0624000,1,1.0000000,1,3.2398100,0.0065200,18.7663403
,2,3.8159869,121.2192307,51.3126984,27.5389004,0.0177000,0.0402000,0.0180000,0.0767000,0.3036000,0.3600000,0.3964000,0.1574000,0.0613000,1,1.0000000,1,2.7108400,0.0081600,22.1526508
,2,6.2790527,295.3838501,49.4319992,27.0783005,0.0214000,0.0445000,0.0179000,0.0815000,0.2606000,0.3251000,0.3603000,0.0873000,0.0294000,1,1.0000000,1,3.9027100,0.0101100,11.8585196
,2,4.2204151,84.0412674,51.3606987,27.5736008,0.0146000,0.0399000,0.0142000,0.0735000,0.3435000,0.4083000,0.4585000,0.1626000,0.0599000,1,1.0000000,1,3.5125201,0.0063200,17.9769497
,2,6.2566957,113.1993027,49.1706009,29.2271996,0.0612000,0.0729000,0.0530000,0.1087000,0.2841000,0.3507000,0.3925000,0.1662000,0.0730000,1,1.0000000,1,2.4398999,0.0114300,19.1417103
,2,10.0158195,108.4026031,49.5829010,29.5916996,0.0159000,0.0362000,0.0174000,0.0740000,0.3070000,0.3811000,0.4362000,0.1817000,0.0719000,1,1.0000000,1,3.2731400,0.0056600,19.9232597
,2,4.3069253,84.1861420,48.8631973,29.0869484,0.0357500,0.0557000,0.0279500,0.0847000,0.2795000,0.3558000,0.3859000,0.1680000,0.0668000,1,1.0000000,1,2.7230101,0.0084000,21.1176491
,2,10.0110121,108.4475403,50.5685005,28.9762993,0.0195000,0.0348000,0.0170000,0.0670000,0.2207000,0.2897000,0.3366000,0.1215000,0.0438000,1,1.0000000,1,3.2378399,0.0083500,18.1586609
,2,7.4096422,111.3236160,50.3055992,28.7099991,0.0190000,0.0372000,0.0175000,0.0656000,0.2296000,0.3071000,0.3418000,0.1401000,0.0578000,1,1.0000000,1,3.0294199,0.0075300,20.8212395
,2,2.5550084,313.4028931,48.4073982,28.3547993,0.0124000,0.0377000,0.0143000,0.0707000,0.2248000,0.2760000,0.3191000,0.0975000,0.0346000,1,1.0000000,1,3.0120101,0.0111200,16.9133892
,2,3.2570550,306.5078430,49.3176994,27.6595001,0.0409000,0.0563000,0.0325000,0.0888000,0.2603000,0.3220000,0.3557000,0.1470000,0.0598000,1,1.0000000,1,2.6729200,0.0096800,18.8915596
,2,4.3069253,84.1861420,48.8631973,29.0869484,0.0368500,0.0533000,0.0301500,0.0861000,0.2746500,0.3471500,0.3901500,0.1549500,0.0611000,1,1.0000000,1,3.0425000,0.0081300,18.5843697
,2,8.3679256,92.3159485,49.7510986,29.2001991,0.0150000,0.0322000,0.0142000,0.0592000,0.2372000,0.2868000,0.3301000,0.1359000,0.0556000,1,1.0000000,1,2.7793300,0.0083600,21.8826008
,2,2.7658744,128.9767609,50.9324493,27.5738487,0.0150500,0.0344000,0.0134000,0.0765500,0.2905500,0.3935500,0.4097500,0.1616000,0.0603000,1,1.0000000,1,3.5643401,0.0057800,17.2237892
,2,11.2587452,290.7579956,46.9868011,27.7453995,0.0366000,0.0537000,0.0244000,0.0839000,0.2938000,0.3855000,0.0000000,0.1624000,0.0632000,1,1.0000000,1,3.6626799,0.0059200,16.0590000
,2,2.5938568,312.9804688,48.1291008,28.5270996,0.0189000,0.0387000,0.0148000,0.0670000,0.2963000,0.3898000,0.4257000,0.1537000,0.0565000,1,1.0000000,1,3.4282999,0.0064400,18.1562195
,2,7.1947069,111.5731583,49.3960991,29.2402992,0.0153000,0.0263000,0.0135000,0.0507000,0.1998000,0.2533000,0.2853000,0.1264000,0.0526000,1,1.0000000,1,2.5939801,0.0088100,24.2911301
,2,7.7125497,110.9018478,50.2863007,28.7707005,0.0111000,0.0234000,0.0100000,0.0463000,0.1741000,0.2230000,0.2520000,0.1000000,0.0383000,1,1.0000000,1,2.5768499,0.0106100,23.8859196
,2,6.3408694,113.0842361,49.7266006,28.8892994,0.0316000,0.0449000,0.0251000,0.0732000,0.2418000,0.3307000,0.3736000,0.1754000,0.0800000,1,1.0000000,1,2.9743700,0.0062600,21.9869003
,2,11.7092915,107.1835022,50.8868027,29.0615501,0.0109500,0.0319500,0.0135500,0.0669000,0.2432500,0.2869500,0.3158000,0.0744000,0.0247000,1,1.0000000,1,3.1133900,0.0136600,17.1586609
,2,2.4398701,314.8977661,49.7843018,27.5310993,0.0160000,0.0230000,0.0138000,0.0454000,0.1580000,0.1914000,0.2134000,0.0762000,0.0321000,1,1.0000000,1,2.1894400,0.0146200,24.9493294
,2,8.7634335,275.3815308,47.6559982,27.7376995,0.0273000,0.0466000,0.0201000,0.0730000,0.2759000,0.3692000,0.0000000,0.1563000,0.0574000,1,1.0000000,1,3.5769200,0.0058200,17.3666592
,2,4.3083944,84.3127823,50.3680992,28.1562004,0.0131000,0.0261000,0.0111000,0.0529000,0.2078000,0.2865000,0.3089000,0.1289000,0.0535000,1,1.0000000,1,2.9302499,0.0078300,23.2498798
,2,9.4789009,93.2025223,49.6169014,29.4701004,0.0159000,0.0377000,0.0156000,0.0763000,0.2498000,0.3108000,0.3465000,0.1403000,0.0538000,1,1.0000000,1,2.5931499,0.0092800,20.9880409
,2,2.3241329,300.4655457,48.1147003,28.5881004,0.0229000,0.0418000,0.0169000,0.0853000,0.2962000,0.3866000,0.4327000,0.1644000,0.0629000,1,1.0000000,1,3.1479700,0.0066600,19.9273701
,2,8.5020609,92.4264984,49.6039009,29.3146992,0.0257000,0.0495000,0.0243000,0.0878000,0.3388000,0.3953000,0.4532000,0.1772000,0.0712000,1,1.0000000,1,3.4521699,0.0063600,17.5205097
,2,2.6898882,129.7901459,50.8618011,27.6000004,0.0183000,0.0403000,0.0171000,0.0768000,0.2427000,0.3000000,0.3588000,0.1279000,0.0478000,1,1.0000000,1,2.7535200,0.0096100,19.6644993
,2,2.7046285,311.5485535,49.8036003,27.4703007,0.0150000,0.0225000,0.0134000,0.0462000,0.1514000,0.1911000,0.2136000,0.0836000,0.0348000,1,1.0000000,1,2.5761199,0.0107300,21.2206306
